Volume,WVolPrice,Open,High,Low,Close,Timestamp,Transactions
1721435,176.8546,176.545,176.661,177.304,176.42,1591383600000,6790
1191980,176.8813,176.686,177.076,177.2,176.4247,1591384500000,5175
1476830,176.8801,177.096,176.9,177.2,176.518,1591385400000,6299
2453005,176.8528,176.862,177.11,177.11,176.4312,1591386300000,9841
167500,177.0847,177.132,177.02,177.196,176.88,1591387200000,402
30195,176.9848,177.002,176.98,177.002,176.9,1591388100000,150
13535,177.0008,176.94,177,177.05,176.92,1591389000000,90
84875,177.0735,177.002,177.002,177.132,176.982,1591389900000,92
69100,177.1383,177.05,177.306,177.306,177.022,1591390800000,249
52000,177.2416,177.31,177.172,177.368,177.044,1591391700000,154
10400,177.1333,177.172,177.04,177.2,177.04,1591392600000,80
3295,177.0031,177,177,177,177,1591393500000,22
3110,176.95,176.9,177.15,177.15,176.9,1591394400000,35
6820,176.8464,176.816,176.816,176.816,176.816,1591395300000,19
2600,177.0141,177.04,177,177.04,177,1591396200000,12
3880,176.9124,176.958,176.84,176.96,176.84,1591397100000,13
10565,176.8587,176.958,176.826,176.958,176.826,1591398000000,29
5495,176.849,176.83,176.83,176.83,176.816,1591398900000,27
10580,176.8926,176.824,177,177,176.8,1591399800000,50
15185,176.9432,176.88,176.97,177,176.848,1591400700000,63
5900,176.2589,176,176.22,176.4,176,1591603200000,40
2210,175.8136,175.8,175.8,175.8,175.8,1591604100000,10
2005,175.9157,176.186,176.186,176.186,176.186,1591605000000,14
8945,176.4589,176.186,176.84,176.84,176.186,1591605900000,21
10465,177.0081,176.84,177.13,177.13,176.84,1591606800000,40
23330,178.4337,177.6,178.84,178.84,177.6,1591607700000,200
26540,179.7151,179.4,179.75,180,179.4,1591608600000,197
7045,179.732,179.8,179.476,179.8,179.476,1591609500000,36
33615,179.8562,179.39,180.242,180.458,179.33,1591612200000,170
23520,180.2889,180.458,180.112,180.6,180,1591613100000,104
183895,179.908,179.776,179.96,180.57,179.232,1591614000000,774
122475,180.1956,179.714,180,180.6,179.714,1591614900000,372
36250,179.9767,179.95,180.2,180.2,179.802,1591615800000,187
41250,179.8996,180.178,180,180.18,179.6,1591616700000,270
165270,179.9081,180,179.57,180.568,179.2,1591617600000,1133
32890,179.5702,179.4,179.7,179.7,179.4,1591618500000,265
51510,179.6634,179.6002,179.9,179.9,179.534,1591619400000,323
290945,180.3836,179.9,180.38,180.976,179.8,1591620300000,1496
608550,181.9932,180.3,181.76,182.976,180.3,1591621200000,4029
539905,183.1321,181.942,183.538,183.994,181.92,1591622100000,3716
9664115,185.0213,183.8,185.522,186.688,182.64,1591623000000,41876
4063745,184.6696,185.4,184.0488,185.538,183.6,1591623900000,20013
3639495,183.2141,184.016,182.227,184.213,181.832,1591624800000,17086
3056465,183.1282,182.278,183.852,183.978,182.142,1591625700000,12908
2566475,183.8561,183.826,184.192,184.448,183.02,1591626600000,11232
2620840,184.2918,184.196,184.7,184.8,183.406,1591627500000,10049
1915195,184.6727,184.73,184.938,185,184.184,1591628400000,7880
2878290,185.515,184.948,185.62,185.958,184.794,1591629300000,11930
2094535,185.3925,185.646,184.944,186,184.6,1591630200000,9500
1186975,185.1874,185.03,184.958,185.6,184.858,1591631100000,6044
1181285,185.2129,184.956,184.888,185.72,184.8,1591632000000,5745
921935,185.1596,184.86,185.2186,185.566,184.82,1591632900000,4446
2011350,185.8321,185.261,185.664,186,185.2354,1591633800000,8096
1263655,185.7826,185.6586,185.973,186,185.366,1591634700000,5223
3158545,186.3998,185.954,185.6848,186.9759,185.272,1591635600000,12601
1358630,185.6032,185.658,185.85,185.906,185.234,1591636500000,5500
1436475,186.2566,185.8566,186.5828,186.6,185.702,1591637400000,5765
1321670,186.578,186.4964,186.32,186.92,186.2099,1591638300000,5828
2090210,186.9206,186.3446,187.0469,187.2,186.208,1591639200000,9345
1387080,187.2556,187.0442,187.0847,187.5,187.034,1591640100000,6314
1610755,187.1854,187.074,187.5,187.592,186.7262,1591641000000,6524
1995005,187.8466,187.481,188.086,188.202,187.302,1591641900000,9553
2111550,188.1205,188.086,188.322,188.476,187.512,1591642800000,8806
2264465,188.5392,188.3281,188.827,188.94,187.84,1591643700000,9308
3621190,189.3824,188.8,189.482,189.838,188.8,1591644600000,14200
4675530,189.7478,189.482,189.826,190,189.2,1591645500000,20529
520190,190.6031,189.984,191.09,191.498,189.67,1591646400000,2597
319320,190.3494,191.2,190,191.27,189.62,1591647300000,1102
63265,190.2593,189.996,190.6,190.6,189.982,1591648200000,1459
102290,190.823,190.6,190.41,191.28,190.3,1591649100000,676
366715,189.9987,190.4,190.2,190.4,189.9,1591650000000,287
26985,190.5278,190.572,190.65,190.68,190.4,1591650900000,253
41620,190.4207,190.594,190.3,190.63,190.2,1591651800000,303
29375,190.3703,190.35,190.15,190.59,190.15,1591652700000,370
24190,190.3247,190.052,190.2,190.69,190.052,1591653600000,168
29045,190.2043,190.22,190.2,190.22,190.1,1591654500000,58
6075,190.2309,190.2,190.2,190.28,190.2,1591655400000,39
112630,189.3075,190.332,189.6,190.332,188.4,1591656300000,581
26560,189.3412,189.7,189.6,189.7,189,1591657200000,138
40305,189.2432,189.4,189.364,189.5,189,1591658100000,215
41920,188.8561,189.488,188.78,189.488,188.42,1591659000000,202
60025,188.9137,188.802,188.9,189.146,188.62,1591659900000,362
47635,186.8485,188,187,188,185,1591689600000,243
22435,186.8187,187.204,186.4,187.204,186.4,1591690500000,103
26980,185.5874,186.2,185.456,186.2,185.302,1591691400000,163
27690,185.9566,185.56,186.2,186.284,185.56,1591692300000,124
27530,186.0637,186.062,186.202,186.462,185.8,1591693200000,100
13150,186.579,186.208,186.8,186.8,186.2,1591694100000,38
11430,187.4058,187.202,187.36,187.5,187.202,1591695000000,65
8395,187.0046,187.004,187,187.004,187,1591695900000,38
9320,187.4354,187.352,187.598,187.598,187.348,1591696800000,36
13845,187.4129,187,187.424,187.8,187,1591697700000,67
5735,187.465,187.46,187.4,187.47,187.4,1591698600000,35
17090,187.9099,187.7,188.08,188.34,187.7,1591699500000,56
112995,188.4271,188.584,188.67,188.84,187.642,1591700400000,564
64770,188.0723,188.622,188.2,188.622,187.44,1591701300000,368
87125,188.0236,188.3,188,188.4,187.638,1591702200000,391
268755,188.8818,187.94,188.802,189.396,187.802,1591703100000,1204
263390,188.5375,188.7946,188.69,189.37,187.5,1591704000000,1354
62200,188.7087,188.61,188.9313,188.9313,188.55,1591704900000,399
243290,188.1193,189.006,188.468,189.104,187.28,1591705800000,1265
148545,188.1312,188.376,188.2,188.48,187.85,1591706700000,650
177925,187.7155,188.46,188.2,188.46,187.1151,1591707600000,1589
97670,188.0745,188.26,188.002,188.368,187.95,1591708500000,878
5504590,187.3934,188.002,187.323,188.84,186.204,1591709400000,25008
3636115,186.7947,187.378,186.296,187.698,185.776,1591710300000,17127
3795255,185.6686,186.29,185.782,186.44,184.7862,1591711200000,16473
2987585,186.8976,185.778,187.3,187.56,185.741,1591712100000,12380
2017950,187.6121,187.235,188.322,188.322,186.896,1591713000000,8751
3774180,189.1111,188.302,190.2,190.59,188.016,1591713900000,15137
3281905,189.8408,190.17,189.28,190.888,188.71,1591714800000,13274
1883730,188.9336,189.112,189.484,189.6,188.266,1591715700000,7688
1068450,189.0043,189.326,189.2261,189.466,188.546,1591716600000,5254
2191360,188.7139,189.254,188.206,189.7,187.83,1591717500000,9184
1228935,188.4891,188.2899,188.158,188.882,188.152,1591718400000,5295
1506945,188.2557,188.2,188.998,189.002,187.492,1591719300000,6525
1574170,189.4284,188.968,189.7365,189.9609,188.8,1591720200000,6390
1886020,190.0192,189.734,189.89,190.4,189.5022,1591721100000,8348
1937605,190.2458,189.848,189.565,190.8,189.4,1591722000000,8298
1681260,189.7659,189.567,190.142,190.36,189.05,1591722900000,7510
1032920,190.3506,190.178,190.354,190.6,190.04,1591723800000,4969
1616390,189.5908,190.352,189.733,190.368,189.04,1591724700000,6731
1048275,189.4769,189.78,189.4696,189.854,189.11,1591725600000,4223
1386680,189.0198,189.4712,189.165,189.53,188.6524,1591726500000,5174
984290,189.1969,189.156,189.016,189.5546,188.8,1591727400000,4020
1071555,189.2922,189.012,189.268,189.6,188.8845,1591728300000,4204
1352415,188.8989,189.363,189.034,189.412,188.436,1591729200000,5400
1201440,189.3594,189.065,189.246,189.698,188.906,1591730100000,5088
1379100,189.0894,189.1899,189.126,189.388,188.66,1591731000000,5956
2824235,188.3281,189.087,188.202,189.116,187.91,1591731900000,12068
121890,188.0468,188.134,187.9,188.34,187.65,1591732800000,373
33410,188.1159,187.98,188.134,188.24,187.98,1591733700000,186
2670,188.2971,188.32,188.32,188.32,188.32,1591734600000,15
1195,188.2761,188.3,188.3,188.3,188.3,1591735500000,15
276685,188.1318,188.08,188.04,188.19,188.04,1591736400000,79
5035,187.9416,187.9,187.948,187.948,187.9,1591737300000,32
7445,188.0386,187.936,188.074,188.074,187.936,1591738200000,52
13050,187.8818,188.04,187.68,188.04,187.68,1591739100000,87
16640,187.9735,187.894,188.046,188.094,187.894,1591740000000,57
14895,188.0271,188.046,188.004,188.13,188,1591740900000,57
16520,187.942,188.004,187.914,188.02,187.9,1591741800000,43
10390,187.9543,187.914,188.048,188.048,187.914,1591742700000,66
2395,188.0059,188,188,188,188,1591743600000,20
5915,187.5873,187.8,187.402,187.8,187.4,1591744500000,61
27360,187.3478,187.442,187.4,187.754,187.2,1591745400000,113
26030,187.3501,187.4,187.398,187.4,187.2,1591746300000,162
3855,187.9789,187.8,188.032,188.032,187.8,1591776000000,29
3995,187.9987,188,188,188,188,1591779600000,31
